Reference,https://en.wikipedia.org/wiki/United_States_presidential_election,,,,,,,,,Copied on Dec 15 2024,
Year,Party,Presidential candidate,Vice presidential candidate,Popular vote,Total voting population,Popular vote percentage (%),Electoral votes,Total electoral votes,Percentage of electoral votes,Notes,Winner
1788,Independent,George Washington,None,"43,782","43,782",100.00%,69,138,50.00%,Vice Presidents were decided as second place at this point.  Washington was extremely popular with the people.,TRUE
1788,Federalist,John Adams,None,0,"43,782",0.00%,34,138,24.64%,Vice Presidents were decided as second place at this point. Adams became Vice President due to winning the electoral votes.,FALSE
1788,Federalist,John Jay,None,0,"43,782",0.00%,9,138,6.52%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,Robert H. Harrison,None,0,"43,782",0.00%,6,138,4.35%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,John Rutledge,None,0,"43,782",0.00%,6,138,4.35%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,John Hancock,None,0,"43,782",0.00%,4,138,2.90%,Vice Presidents were decided as second place at this point.,FALSE
1788,Anti-Administration,George Clinton,None,0,"43,782",0.00%,3,138,2.17%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,Samuel Huntington,None,0,"43,782",0.00%,2,138,1.45%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,John Milton,None,0,"43,782",0.00%,2,138,1.45%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,James Armstrong,None,0,"43,782",0.00%,1,138,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1788,Federalist,Benjamin Lincoln,None,0,"43,782",0.00%,1,138,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1788,Anti-Administration,Edward Telfair,None,0,"43,782",0.00%,1,138,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1792,Independent,George Washington,None,"28,579","28,579",100.00%,132,264,50.00%,Vice Presidents were decided as second place at this point.  Washington was extremely popular with the people.,TRUE
1792,Federalist,John Adams,None,0,"28,579",0.00%,77,264,29.17%,Vice Presidents were decided as second place at this point. Adams became Vice President due to winning the electoral votes and popular on the Federalist party ticket.,FALSE
1792,Democratic-Republican,George Clinton,None,0,"28,579",0.00%,50,264,18.94%,Vice Presidents were decided as second place at this point.  Clinton was the most popular choice for Vice President for the Democratic-Republican ticket.,FALSE
1792,Democratic-Republican,Thomas Jefferson,None,0,"28,579",0.00%,4,264,1.52%,Vice Presidents were decided as second place at this point.,FALSE
1792,Democratic-Republican,Aaron Burr,None,0,"28,579",0.00%,1,264,0.38%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,John Adams,None,"35,726","66,841",53.45%,71,276,25.72%,Vice Presidents were decided as second place at this point.  Adams became the President due to his experience in the Executive Branch and favored under the Federalist ticket.,TRUE
1796,Democratic-Republican,Thomas Jefferson,None,"31,115","66,841",46.55%,68,276,24.64%,Vice Presidents were decided as second place at this point. Jefferson became Vice President due to being popular on the Democratic-Republican ticket and winning 2nd to Adams.,FALSE
1796,Federalist,Thomas Pinckney,None,0,"66,841",0.00%,59,276,21.38%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,Aaron Burr,None,0,"66,841",0.00%,30,276,10.87%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,Samuel Adams,None,0,"66,841",0.00%,15,276,5.43%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,Oliver Ellsworth,None,0,"66,841",0.00%,11,276,3.99%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,George Clinton,None,0,"66,841",0.00%,7,276,2.54%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,John Jay,None,0,"66,841",0.00%,5,276,1.81%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,James Iredell,None,0,"66,841",0.00%,3,276,1.09%,Vice Presidents were decided as second place at this point.,FALSE
1796,Independent,George Washington,None,0,"66,841",0.00%,2,276,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1796,Democratic-Republican,John Henry,None,0,"66,841",0.00%,2,276,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,Samuel Johnston,None,0,"66,841",0.00%,2,276,0.72%,Vice Presidents were decided as second place at this point.,FALSE
1796,Federalist,Charles Cotesworth Pinckney,None,0,"66,841",0.00%,1,276,0.36%,Vice Presidents were decided as second place at this point.,FALSE
1800,Democratic-Republican,Thomas Jefferson,Aaron Burr,"45,511","75,142",60.57%,73,276,26.45%,Jefferson won the presidency due to winning the popular vote over Burr.,TRUE
1800,Federalist,John Adams,None,"29,621","75,142",39.42%,65,276,23.55%,Adams lost reelection due to the unpopularity of his Presidency.,FALSE
1800,Democratic-Republican,Aaron Burr,Thomas Jefferson,0,"75,142",0.00%,73,276,26.45%,Jefferson won the presidency due to winning the popular vote over Burr.,FALSE
1800,Federalist,Charles Cotesworth Pinckney,None,0,"75,142",0.00%,64,276,23.19%,,FALSE
1800,Federalist,John Jay,None,0,"75,142",0.00%,1,276,0.36%,,FALSE
1800,Other,Write-in,None,10,"75,142",0.01%,0,276,0.00%,,FALSE
